Year,Sales
2011-01-01,49.0
2012-01-01,253.0
2013-01-01,293.0
2014-01-01,1322.0
2015-01-01,1771.0
2016-01-01,1369.0
2017-01-01,2284.0
2018-01-01,2216.0
2019-01-01,6718.0
2020-01-01,6900.0
2021-01-01,20665.0
2022-01-01,39353.0
2023-01-01,67251.4964608526
2024-01-01,103112.32422898873
2025-01-01,144361.1769936748
2026-01-01,195559.12980291678
2027-01-01,249872.1911115427
2028-01-01,314455.56034080964
2029-01-01,381639.5495597967
2030-01-01,457896.01785255974
2031-01-01,537547.7182068946
2032-01-01,624209.7982341871
2033-01-01,715592.2503112917
2034-01-01,811857.844188783
2035-01-01,913950.2013721366
2036-01-01,1019357.5591124897
2037-01-01,1131013.8441362316
2038-01-01,1245251.180303278
2039-01-01,1365382.0324617946
2040-01-01,1488114.1286341422
2041-01-01,1615820.167438289
2042-01-01,1746586.9017152458
2043-01-01,1881208.1137275135
2044-01-01,2019410.3408901652
2045-01-01,2160494.8013035776
2046-01-01,2305448.407563469
2047-01-01,2452671.201233582
2048-01-01,2603691.336720849
2049-01-01,2756764.042645229
2050-01-01,2913240.971956248
